Player,Team,Score_D_finale
Alessandro Bastoni,Inter,575.923581140351
Riccardo Calafiori,Bologna,568.0519239766081
Francesco Acerbi,Inter,566.7127412280702
Jhon Lucumi,Bologna,559.9348815789473
Amir Rrahmani,Napoli,551.8531359649123
Giovanni Di Lorenzo,Napoli,545.9457492690059
Gleison Bremer,Juventus,542.6501622807018
Raoul Bellanova,Torino,535.1697171052632
Benjamin Pavard,Inter,527.6537938596492
Danilo,Juventus,520.4727083333333
Federico Dimarco,Inter,519.646355994152
Stefan De Vrij,Inter,514.0270745614035
Carlos Augusto,Inter,512.1265855263158
Andrea Cambiaso,Juventus,506.2497953216373
Pablo Mari,Monza,505.56183333333337
Theo Hernandez,AC Milan,496.3001023391813
Sam Beukema,Bologna,495.786951754386
Alessio Romagnoli,Lazio,493.62795175438595
Diego Llorente,Roma,491.8760182748537
Berat Djimsiti,Atalanta,490.1852222222222
Gianluca Mancini,Roma,489.9829502923976
Fikayo Tomori,AC Milan,489.06264619883046
Ricardo Rodriguez,Torino,488.13046125731
Stefan Posch,Bologna,480.9391885964913
Marin Pongracic,Lecce,479.3677192982457
Armando Izzo,Monza,478.3922916666667
Adam Marusic,Lazio,475.32348976608193
Patric,Lazio,471.78911549707607
Victor Kristiansen,Bologna,471.31214912280706
Nicolo Casale,Lazio,469.8466842105263
Lucas Martinez Quarta,Fiorentina,469.61729824561405
Sebastiano Luperto,Empoli,468.6142558479532
Federico Gatti,Juventus,466.2105263157894
Mario Gila,Lazio,465.5165233918129
Alessandro Buongiorno,Torino,463.49725877192986
Luca Caldirola,Monza,463.0319539473684
Evan N'Dicka,Roma,460.6096418128655
Giorgio Scalvini,Atalanta,457.6432697368421
Matteo Darmian,Inter,456.4781249999999
Juan Jesus,Napoli,454.7642748538012
Alessandro Florenzi,AC Milan,451.70221491228074
Malick Thiaw,AC Milan,448.2702631578948
Luca Ranieri,Fiorentina,446.9258377192982
Alberto Dossena,Cagliari,444.5903947368421
Nehuen Perez,Udinese,443.3816725146199
Federico Baschirotto,Lecce,442.12288011695904
Nikola Milenkovic,Fiorentina,440.35234502923976
Cristiano Biraghi,Fiorentina,438.79832894736853
Isak Hien,Atalanta,437.38044736842113
Davide Calabria,AC Milan,436.55863669590644
Danilo D'Ambrosio,Monza,435.4468947368421
Sebastian Walukiewicz,Empoli,435.3017002923976
Valentino Lazaro,Torino,433.80084210526314
Leo Stigard,Napoli,433.66518494152047
Sead Kolasinac,Atalanta,433.3417631578948
Andrea Carboni,Monza,431.47752192982455
Denzel Dumfries,Inter,429.2959795321637
Mathias Olivera,Napoli,428.7024210526316
Michael Kayode,Fiorentina,428.4854831871345
Mergim Vojvoda,Torino,427.8926432748538
Samuele Birindelli,Monza,427.8324736842105
Matteo Ruggeri,Atalanta,424.96281578947367
Pawel Dawidowicz,Verona,423.424638888889
Memeh Caleb Okoli,Frosinone,421.108826754386
Ardian Ismajli,Empoli,419.3485394736842
Koni De Winter,Genoa,418.4027923976608
Elseid Hysaj,Lazio,417.05789035087713
Johan Vasquez,Genoa,414.52995029239764
Thomas Kristensen,Udinese,412.8484539473684
Simon Kjr,AC Milan,411.8251717836258
Giangiacomo Magnani,Verona,410.40570467836255
Matteo Lovato,Torino,409.06834795321635
Jaka Bijol,Udinese,404.5941564327485
Antonino Gallo,Lecce,401.8000877192982
Giorgos Kyriakopoulos,Monza,401.7737894736843
Fabiano Parisi,Fiorentina,400.5538245614035
Valentin Gendrey,Lecce,399.5043201754386
Mario Rui,Napoli,399.21331140350884
Ilario Monterisi,Frosinone,398.1007894736843
Simone Romagnoli,Frosinone,397.2951461988303
Adam Masina,Torino,396.4245833333332
Hassane Kamara,Udinese,395.71518421052633
Radu Dragusin,Genoa,395.47375
Domagoj Bradaric,Salernitana,394.9084027777777
Martin Erlic,Sassuolo,390.8711754385965
Joao Ferreira,Udinese,389.3925964912281
Tommaso Augello,Cagliari,388.49859356725136
Leonardo Spinazzola,Roma,387.9242309941521
Bartosz Bereszynski,Empoli,382.3617470760234
Pedro Pereira,Monza,380.52720102339185
Gian Marco Ferrari,Sassuolo,379.21010526315786
Diego Coppola,Verona,379.1067368421053
Mattia Bani,Genoa,377.13431505847956
Gabriele Zappa,Cagliari,375.6023223684211
Jeremy Toljan,Sassuolo,375.51179824561405
Ruan Tressoldi,Sassuolo,374.4501644736842
Pol Lirola,Frosinone,373.96555263157893
Rasmus Kristensen,Roma,372.8475745614036
Lorenzo Pirola,Salernitana,371.013654239766
Juan Cabal,Verona,366.538225877193
Nadir Zortea,Frosinone,365.687908625731
Patrick Dorgu,Lecce,365.5277500000001
Liberato Cacace,Empoli,365.3035021929825
Charalambos Lykogiannis,Bologna,365.07386330409355
Marcus Holmgren Pedersen,Sassuolo,352.98375000000004
Pasquale Mazzocchi,Napoli,352.7718333333333
Mateusz Wieteska,Cagliari,352.2025584795321
Hans Hateboer,Atalanta,349.443
Alessandro Vogliacco,Genoa,342.0108406432749
Filippo Terracciano,AC Milan,341.785
Marco Davide Faraoni,Verona,340.2416118421052
Norbert Gyomber,Salernitana,338.65481871345037
Luca Pellegrini,Lazio,331.99673611111115
Aaron Caricol,Genoa,322.99298245614034
Paulo Azzi,Cagliari,321.8768157894736
Festy Ebosele,Udinese,319.7663742690059
Jordan Zemura,Udinese,317.359716374269
Josh Doig,Sassuolo,316.3687324561403
Alessandro Zanoli,Salernitana,306.211875
Kingsley Ehizibue,Udinese,303.73958333333337
Emil Holm,Atalanta,302.07526315789465
Stefano Sabelli,Genoa,300.2357894736842
Giuseppe Pezzella,Empoli,287.68175438596484
Yann Aurel Bisseck,Inter,70.05000000000001
Lorenzo De Silvestri,Bologna,57.224999999999994
Brandon Soppy,Torino,54.449999999999996
Alessandro Dellavalle,Torino,54.0
David Zima,Torino,54.0
Wilfried Singo,Torino,54.0
Brian Bayeye,Torino,54.0
Perr Schuurs,Torino,52.575
Koffi Djidji,Torino,51.14999999999999
Adama Soumaoro,Bologna,51.0
Mihajlo Ilic,Bologna,51.0
Daniele Rugani,Juventus,51.0
Alex Sandro,Juventus,50.775000000000006
Tommaso Corazza,Bologna,50.099999999999994
Saba Sazonov,Torino,49.125
Mattia De Sciglio,Juventus,48.0
Tiago Djalo,Juventus,48.0
Mitchel Bakker,Atalanta,44.25000000000001
Giovanni Bonfanti,Atalanta,42.075
Jose Luis Palomino,Atalanta,42.0
Jan-Carlo Simic,AC Milan,39.45
Giulio Donati,Monza,39.45
Dimitrije Kamenovic,Lazio,39.0
Rick Karsdorp,Roma,38.325
Matteo Gabbia,AC Milan,38.25000000000001
Pierre Kalulu,AC Milan,36.6
Mattia Caldara,AC Milan,36.150000000000006
Valentin Antov,Monza,36.0
Mario Sampirisi,Monza,36.0
Clinton Nsiala-Makengo,AC Milan,36.0
Davide Bartesaghi,AC Milan,36.0
Armando Anastasio,Monza,36.0
Davide Bettella,Monza,36.0
Alejandro Jimenez,AC Milan,35.625
Rafael Toloi,Atalanta,34.12500000000001
Chris Smalling,Roma,33.150000000000006
Lovro Golic,Roma,33.0
Mehmet Zeki Celik,Roma,32.85
Angelino,Roma,32.400000000000006
Tyronne Ebuehi,Empoli,31.275000000000002
Riccardo Marchizza,Frosinone,30.074999999999996
Dean Huijsen,Roma,29.925000000000004
Ridgeciano Haps,Genoa,27.674999999999997
Davide Biraschi,Genoa,27.075000000000003
Luca Marianucci,Empoli,27.0
Petar Stojanovic,Empoli,27.0
Saba Goglichidze,Empoli,27.0
Antonio Tikvic,Udinese,27.0
Axel Guessand,Udinese,27.0
James Abankwah,Udinese,27.0
Gabriele Guarino,Empoli,27.0
Enzo Ebosse,Udinese,27.0
Samuel John Nwachukwu,Udinese,27.0
Dodo,Fiorentina,25.800000000000004
Ruben Vinagre,Verona,25.424999999999997
Fabien Centonze,Verona,25.199999999999996
Alan Matturro,Genoa,24.075000000000003
Nicolo Calabrese,Verona,24.0
Denis Cazzadori,Verona,24.0
Silvan Hefti,Genoa,24.0
Federico Ceccherini,Verona,24.0
Christian Dalle Mura,Fiorentina,24.0
Christian Corradi,Verona,24.0
Djed Spence,Genoa,23.4
Christian Kabasele,Udinese,22.799999999999997
Giorgio Cittadini,Genoa,22.5
Pietro Comuzzo,Fiorentina,22.5
Bruno Amione,Verona,21.375
Kastriot Dermaku,Lecce,21.0
Mats Lemmens,Lecce,21.0
Zinedin Smajlovic,Lecce,21.0
Lautaro Gianetti,Udinese,20.700000000000003
Ahmed Touba,Lecce,19.5
Lorenzo Venuti,Lecce,19.05
Emanuele Valeri,Frosinone,18.975
Kevin Bonifazi,Frosinone,18.15
Sergio Kalaj,Frosinone,18.0
Przemyslaw Szyminski,Frosinone,18.0
Anthony Oyono,Frosinone,16.275
Mateus Lusuardi,Frosinone,15.075000000000001
Elio Capradossi,Cagliari,15.0
Giorgio Altare,Cagliari,15.0
Natan,Napoli,14.999999999999996
Adam Obert,Cagliari,14.55
Pantelis Hatzidiakos,Cagliari,13.274999999999999
Alessandro Di Pardo,Cagliari,13.200000000000001
Yerry Mina,Cagliari,13.125
Matias Vina,Sassuolo,11.549999999999999
Gerardo Fusco,Salernitana,10.8
Edoardo Goldaniga,Cagliari,9.975000000000001
Filippo Missori,Sassuolo,9.825
Kevin Miranda,Sassuolo,9.0
Mattia Viti,Sassuolo,7.6499999999999995
Jerome Boateng,Salernitana,6.375
Konstantinos Manolas,Salernitana,6.225
Dylan Bronn,Salernitana,6.0
Emanuele Elia,Salernitana,6.0
Marash Kumbulla,Sassuolo,6.0
Flavius Daniliuc,Salernitana,3.749999999999999
Marco Pellegrino,Salernitana,3.1499999999999995
Triantafyllos Pasalidis,Salernitana,1.9500000000000002
Niccolo Pierozzi,Salernitana,0.30000000000000004
Federico Fazio,Salernitana,-0.0749999999999999
