Team,Number,Player,Position
Lazio,3,Luca Pellegrini,D
Lazio,4,Patric,D
Lazio,5,Matías Vecino,C
Lazio,6,Daichi Kamada,C
Lazio,7,Felipe Anderson,C
Lazio,8,Mattéo Guendouzi,C
Lazio,9,Pedro,A
Lazio,10,Luis Alberto,C
Lazio,13,Alessio Romagnoli,D
Lazio,15,Nicolò Casale,D
Lazio,16,Dimitrije Kamenović,D
Lazio,17,Ciro Immobile,A
Lazio,18,Gustav Isaksen,A
Lazio,19,Valentín Castellanos,A
Lazio,20,Mattia Zaccagni,C
Lazio,22,Diego González,A
Lazio,23,Elseid Hysaj,D
Lazio,26,Toma Bašić,C
Lazio,28,André Anderson,C
Lazio,29,Manuel Lazzari,C
Lazio,31,Marius Adamonis,P
Lazio,32,Danilo Cataldi,C
Lazio,33,Luigi Sepe,P
Lazio,34,Mario Gila,D
Lazio,35,Chrīstos Mandas,P
Lazio,55,Alessio Furlanetto,P
Lazio,65,Nicolò Rovella,C
Lazio,77,Adam Marušić,D
Lazio,94,Ivan Provedel,P
