Player,Team,Position,Etichetta_Tattica
adam masina,Torino,D,Leader difensivo
johan vasquez,Genoa,D,Leader difensivo
joao ferreira,Udinese,D,Stopper
alessio romagnoli,Lazio,D,Leader difensivo
victor kristiansen,Bologna,D,Libero
valentino lazaro,Torino,D,Libero
valentin gendrey,Lecce,D,Libero
alessandro zanoli,Salernitana,D,Libero
alessandro vogliacco,Genoa,D,Leader difensivo
alessandro florenzi,AC Milan,D,Terzino offensivo
pedro pereira,Monza,D,Libero
pawel dawidowicz,Verona,D,Leader difensivo
paulo azzi,Cagliari,D,Stopper
patrick dorgu,Lecce,D,Libero
patric,Lazio,D,Regista difensivo
danilo d'ambrosio,Monza,D,Leader difensivo
danilo,Juventus,D,Leader difensivo
rasmus kristensen,Roma,D,Libero
raoul bellanova,Torino,D,Terzino offensivo
pablo mari,Monza,D,Leader difensivo
norbert gyomber,Salernitana,D,Regista difensivo
diego coppola,Verona,D,Leader difensivo
denzel dumfries,Inter,D,Terzino offensivo
davide calabria,AC Milan,D,Terzino offensivo
elseid hysaj,Lazio,D,Leader difensivo
nikola milenkovic,Fiorentina,D,Regista difensivo
nicolo casale,Lazio,D,Regista difensivo
domagoj bradaric,Salernitana,D,Libero
diego llorente,Roma,D,Regista difensivo
pasquale mazzocchi,Napoli,D,Libero
sam beukema,Bologna,D,Regista difensivo
ruan tressoldi,Sassuolo,D,Leader difensivo
charalambos lykogiannis,Bologna,D,Terzino offensivo
carlos augusto,Inter,D,Terzino offensivo
michael kayode,Fiorentina,D,Libero
nehuen perez,Udinese,D,Leader difensivo
nadir zortea,Frosinone,D,Terzino offensivo
emil holm,Atalanta,D,Stopper
mattia bani,Genoa,D,Regista difensivo
federico baschirotto,Lecce,D,Regista difensivo
fabiano parisi,Fiorentina,D,Libero
evan n'dicka,Roma,D,Regista difensivo
sebastiano luperto,Empoli,D,Leader difensivo
sebastian walukiewicz,Empoli,D,Leader difensivo
sead kolasinac,Atalanta,D,Libero
samuele birindelli,Monza,D,Libero
berat djimsiti,Atalanta,D,Leader difensivo
benjamin pavard,Inter,D,Leader difensivo
bartosz bereszynski,Empoli,D,Libero
armando izzo,Monza,D,Leader difensivo
ardian ismajli,Empoli,D,Leader difensivo
francesco acerbi,Inter,D,Regista difensivo
filippo terracciano,AC Milan,D,Stopper
fikayo tomori,AC Milan,D,Regista difensivo
festy ebosele,Udinese,D,Stopper
federico gatti,Juventus,D,Terzino offensivo
federico dimarco,Inter,D,Terzino offensivo
mergim vojvoda,Torino,D,Libero
memeh caleb okoli,Frosinone,D,Leader difensivo
mateusz wieteska,Cagliari,D,Leader difensivo
martin erlic,Sassuolo,D,Leader difensivo
mario rui,Napoli,D,Libero
matteo ruggeri,Atalanta,D,Libero
matteo lovato,Torino,D,Leader difensivo
matteo darmian,Inter,D,Regista difensivo
mathias olivera,Napoli,D,Libero
gabriele zappa,Cagliari,D,Libero
mario gila,Lazio,D,Regista difensivo
marin pongracic,Lecce,D,Leader difensivo
marcus holmgren pedersen,Sassuolo,D,Libero
marco davide faraoni,Verona,D,Libero
gianluca mancini,Roma,D,Regista difensivo
giangiacomo magnani,Verona,D,Leader difensivo
gian marco ferrari,Sassuolo,D,Regista difensivo
stefan posch,Bologna,D,Libero
stefan de vrij,Inter,D,Leader difensivo
simone romagnoli,Frosinone,D,Regista difensivo
simon kjr,AC Milan,D,Leader difensivo
antonino gallo,Lecce,D,Libero
andrea carboni,Monza,D,Leader difensivo
thomas kristensen,Udinese,D,Leader difensivo
hassane kamara,Udinese,D,Stopper
hans hateboer,Atalanta,D,Regista difensivo
malick thiaw,AC Milan,D,Regista difensivo
lucas martinez quarta,Fiorentina,D,Terzino offensivo
gleison bremer,Juventus,D,Leader difensivo
giuseppe pezzella,Empoli,D,Libero
giovanni di lorenzo,Napoli,D,Terzino offensivo
giorgos kyriakopoulos,Monza,D,Libero
giorgio scalvini,Atalanta,D,Leader difensivo
liberato cacace,Empoli,D,Libero
leonardo spinazzola,Roma,D,Libero
leo stigard,Napoli,D,Regista difensivo
luca ranieri,Fiorentina,D,Leader difensivo
luca pellegrini,Lazio,D,Stopper
luca caldirola,Monza,D,Regista difensivo
lorenzo pirola,Salernitana,D,Leader difensivo
ilario monterisi,Frosinone,D,Regista difensivo
jhon lucumi,Bologna,D,Regista difensivo
jeremy toljan,Sassuolo,D,Libero
koni de winter,Genoa,D,Regista difensivo
kingsley ehizibue,Udinese,D,Stopper
jaka bijol,Udinese,D,Leader difensivo
isak hien,Atalanta,D,Leader difensivo
theo hernandez,AC Milan,D,Terzino offensivo
stefano sabelli,Genoa,D,Libero
tommaso augello,Cagliari,D,Libero
andrea cambiaso,Juventus,D,Terzino offensivo
amir rrahmani,Napoli,D,Terzino offensivo
alberto dossena,Cagliari,D,Leader difensivo
alessandro buongiorno,Torino,D,Leader difensivo
alessandro bastoni,Inter,D,Terzino offensivo
aaron caricol,Genoa,D,Libero
radu dragusin,Genoa,D,Leader difensivo
jordan zemura,Udinese,D,Stopper
pol lirola,Frosinone,D,Libero
riccardo calafiori,Bologna,D,Terzino offensivo
ricardo rodriguez,Torino,D,Libero
cristiano biraghi,Fiorentina,D,Terzino offensivo
josh doig,Sassuolo,D,Libero
juan cabal,Verona,D,Stopper
juan jesus,Napoli,D,Regista difensivo
adam marusic,Lazio,D,Libero
