Player,Team,Role,Modulo
vanja milinkovic-savic,Torino,P,'4-3-3
riccardo calafiori,Bologna,D,'4-3-3
alessandro bastoni,Inter,D,'4-3-3
francesco acerbi,Inter,D,'4-3-3
amir rrahmani,Napoli,D,'4-3-3
hakan calhanoglu,Inter,C,'4-3-3
arthur,Fiorentina,C,'4-3-3
matteo pessina,Monza,C,'4-3-3
albert gudmundsson,Genoa,A,'4-3-3
rafael leao,AC Milan,A,'4-3-3
lautaro martinez,Inter,A,'4-3-3
vanja milinkovic-savic,Torino,P,'4-2-3-1
riccardo calafiori,Bologna,D,'4-2-3-1
alessandro bastoni,Inter,D,'4-2-3-1
francesco acerbi,Inter,D,'4-2-3-1
amir rrahmani,Napoli,D,'4-2-3-1
arthur,Fiorentina,C,'4-2-3-1
matteo pessina,Monza,C,'4-2-3-1
hakan calhanoglu,Inter,C,'4-2-3-1
albert gudmundsson,Genoa,A,'4-2-3-1
rafael leao,AC Milan,A,'4-2-3-1
lautaro martinez,Inter,A,'4-2-3-1
vanja milinkovic-savic,Torino,P,'3-5-2
riccardo calafiori,Bologna,D,'3-5-2
francesco acerbi,Inter,D,'3-5-2
alessandro bastoni,Inter,D,'3-5-2
arthur,Fiorentina,C,'3-5-2
matteo pessina,Monza,C,'3-5-2
mattia zaccagni,Lazio,C,'3-5-2
amir rrahmani,Napoli,D,'3-5-2
federico dimarco,Inter,D,'3-5-2
lautaro martinez,Inter,A,'3-5-2
olivier giroud,AC Milan,A,'3-5-2
