Squadra,Giornata,Gol_Subiti_Ultime3
Empoli,4,5
Empoli,5,11
Empoli,6,10
Empoli,7,8
Empoli,8,4
Empoli,9,3
Empoli,10,3
Empoli,11,3
Empoli,12,5
Empoli,13,5
Empoli,14,6
Empoli,15,5
Empoli,16,6
Empoli,17,3
Empoli,18,4
Empoli,19,3
Empoli,20,5
Empoli,21,5
Empoli,22,5
Empoli,23,3
Empoli,24,1
Empoli,25,2
Empoli,26,2
Empoli,27,4
Empoli,28,4
Empoli,29,4
Empoli,30,3
Empoli,31,4
Empoli,32,5
Empoli,33,5
Empoli,34,3
Empoli,35,3
Empoli,36,2
Empoli,37,4
Empoli,38,3
Empoli,39,4
Verona,4,4
Verona,5,4
Verona,6,4
Verona,7,2
Verona,8,2
Verona,9,3
Verona,10,5
Verona,11,7
Verona,12,8
Verona,13,6
Verona,14,6
Verona,15,6
Verona,16,6
Verona,17,5
Verona,18,2
Verona,19,2
Verona,20,3
Verona,21,4
Verona,22,5
Verona,23,4
Verona,24,5
Verona,25,3
Verona,26,4
Verona,27,4
Verona,28,4
Verona,29,2
Verona,30,3
Verona,31,4
Verona,32,6
Verona,33,5
Verona,34,4
Verona,35,3
Verona,36,2
Verona,37,3
Verona,38,3
Verona,39,4
Frosinone,4,4
Frosinone,5,3
Frosinone,6,3
Frosinone,7,4
Frosinone,8,4
Frosinone,9,4
Frosinone,10,5
Frosinone,11,3
Frosinone,12,3
Frosinone,13,3
Frosinone,14,4
Frosinone,15,6
Frosinone,16,4
Frosinone,17,5
Frosinone,18,4
Frosinone,19,7
Frosinone,20,8
Frosinone,21,11
Frosinone,22,9
Frosinone,23,7
Frosinone,24,5
Frosinone,25,9
Frosinone,26,11
Frosinone,27,11
Frosinone,28,7
Frosinone,29,5
Frosinone,30,5
Frosinone,31,5
Frosinone,32,4
Frosinone,33,3
Frosinone,34,2
Frosinone,35,2
Frosinone,36,0
Frosinone,37,5
Frosinone,38,5
Frosinone,39,6
Napoli,4,3
Napoli,5,4
Napoli,6,4
Napoli,7,3
Napoli,8,1
Napoli,9,4
Napoli,10,4
Napoli,11,6
Napoli,12,3
Napoli,13,3
Napoli,14,2
Napoli,15,5
Napoli,16,5
Napoli,17,5
Napoli,18,4
Napoli,19,3
Napoli,20,5
Napoli,21,4
Napoli,22,5
Napoli,23,2
Napoli,24,2
Napoli,25,2
Napoli,26,3
Napoli,27,3
Napoli,28,3
Napoli,29,3
Napoli,30,3
Napoli,31,5
Napoli,32,6
Napoli,33,7
Napoli,34,5
Napoli,35,5
Napoli,36,4
Napoli,37,5
Napoli,38,5
Napoli,39,4
Genoa,4,5
Genoa,5,3
Genoa,6,4
Genoa,7,4
Genoa,8,4
Genoa,9,4
Genoa,10,5
Genoa,11,3
Genoa,12,4
Genoa,13,2
Genoa,14,4
Genoa,15,3
Genoa,16,4
Genoa,17,3
Genoa,18,3
Genoa,19,3
Genoa,20,3
Genoa,21,2
Genoa,22,2
Genoa,23,2
Genoa,24,2
Genoa,25,5
Genoa,26,5
Genoa,27,5
Genoa,28,3
Genoa,29,5
Genoa,30,5
Genoa,31,4
Genoa,32,2
Genoa,33,3
Genoa,34,3
Genoa,35,2
Genoa,36,4
Genoa,37,4
Genoa,38,5
Genoa,39,2
Fiorentina,4,7
Fiorentina,5,8
Fiorentina,6,6
Fiorentina,7,3
Fiorentina,8,1
Fiorentina,9,2
Fiorentina,10,3
Fiorentina,11,4
Fiorentina,12,4
Fiorentina,13,3
Fiorentina,14,3
Fiorentina,15,2
Fiorentina,16,2
Fiorentina,17,1
Fiorentina,18,1
Fiorentina,19,0
Fiorentina,20,1
Fiorentina,21,3
Fiorentina,22,5
Fiorentina,23,5
Fiorentina,24,6
Fiorentina,25,5
Fiorentina,26,5
Fiorentina,27,3
Fiorentina,28,2
Fiorentina,29,3
Fiorentina,30,4
Fiorentina,31,6
Fiorentina,32,5
Fiorentina,33,4
Fiorentina,34,2
Fiorentina,35,2
Fiorentina,36,3
Fiorentina,37,4
Fiorentina,38,5
Fiorentina,39,5
Inter,4,0
Inter,5,1
Inter,6,1
Inter,7,3
Inter,8,2
Inter,9,4
Inter,10,2
Inter,11,2
Inter,12,1
Inter,13,1
Inter,14,2
Inter,15,1
Inter,16,1
Inter,17,0
Inter,18,0
Inter,19,1
Inter,20,2
Inter,21,3
Inter,22,2
Inter,23,1
Inter,24,0
Inter,25,2
Inter,26,2
Inter,27,2
Inter,28,1
Inter,29,1
Inter,30,2
Inter,31,1
Inter,32,2
Inter,33,3
Inter,34,4
Inter,35,3
Inter,36,2
Inter,37,1
Inter,38,2
Inter,39,3
Monza,4,5
Monza,5,4
Monza,6,5
Monza,7,2
Monza,8,1
Monza,9,0
Monza,10,1
Monza,11,2
Monza,12,3
Monza,13,3
Monza,14,3
Monza,15,4
Monza,16,3
Monza,17,5
Monza,18,4
Monza,19,4
Monza,20,3
Monza,21,7
Monza,22,10
Monza,23,8
Monza,24,3
Monza,25,0
Monza,26,2
Monza,27,2
Monza,28,6
Monza,29,6
Monza,30,6
Monza,31,3
Monza,32,5
Monza,33,5
Monza,34,6
Monza,35,3
Monza,36,5
Monza,37,5
Monza,38,5
Monza,39,5
Roma,4,6
Roma,5,4
Roma,6,3
Roma,7,5
Roma,8,5
Roma,9,5
Roma,10,1
Roma,11,2
Roma,12,2
Roma,13,2
Roma,14,2
Roma,15,2
Roma,16,3
Roma,17,4
Roma,18,3
Roma,19,3
Roma,20,2
Roma,21,5
Roma,22,5
Roma,23,5
Roma,24,2
Roma,25,5
Roma,26,4
Roma,27,6
Roma,28,3
Roma,29,5
Roma,30,3
Roma,31,2
Roma,32,0
Roma,33,1
Roma,34,4
Roma,35,6
Roma,36,6
Roma,37,5
Roma,38,3
Roma,39,4
Salernitana,4,5
Salernitana,5,6
Salernitana,6,6
Salernitana,7,5
Salernitana,8,6
Salernitana,9,8
Salernitana,10,9
Salernitana,11,6
Salernitana,12,5
Salernitana,13,5
Salernitana,14,5
Salernitana,15,6
Salernitana,16,6
Salernitana,17,9
Salernitana,18,8
Salernitana,19,6
Salernitana,20,4
Salernitana,21,4
Salernitana,22,6
Salernitana,23,6
Salernitana,24,4
Salernitana,25,5
Salernitana,26,7
Salernitana,27,9
Salernitana,28,7
Salernitana,29,7
Salernitana,30,6
Salernitana,31,8
Salernitana,32,6
Salernitana,33,9
Salernitana,34,8
Salernitana,35,9
Salernitana,36,7
Salernitana,37,6
Salernitana,38,5
Salernitana,39,6
Sassuolo,4,5
Sassuolo,5,7
Sassuolo,6,7
Sassuolo,7,7
Sassuolo,8,4
Sassuolo,9,3
Sassuolo,10,4
Sassuolo,11,4
Sassuolo,12,5
Sassuolo,13,5
Sassuolo,14,7
Sassuolo,15,7
Sassuolo,16,7
Sassuolo,17,6
Sassuolo,18,6
Sassuolo,19,5
Sassuolo,20,3
Sassuolo,21,4
Sassuolo,22,9
Sassuolo,23,10
Sassuolo,24,11
Sassuolo,25,6
Sassuolo,26,8
Sassuolo,27,7
Sassuolo,28,7
Sassuolo,29,4
Sassuolo,30,2
Sassuolo,31,2
Sassuolo,32,4
Sassuolo,33,7
Sassuolo,34,9
Sassuolo,35,12
Sassuolo,36,8
Sassuolo,37,7
Sassuolo,38,4
Sassuolo,39,5
Atalanta,4,2
Atalanta,5,5
Atalanta,6,3
Atalanta,7,3
Atalanta,8,0
Atalanta,9,3
Atalanta,10,3
Atalanta,11,3
Atalanta,12,2
Atalanta,13,3
Atalanta,14,5
Atalanta,15,6
Atalanta,16,7
Atalanta,17,6
Atalanta,18,4
Atalanta,19,2
Atalanta,20,2
Atalanta,21,1
Atalanta,22,5
Atalanta,23,4
Atalanta,24,5
Atalanta,25,2
Atalanta,26,2
Atalanta,27,2
Atalanta,28,3
Atalanta,29,5
Atalanta,30,7
Atalanta,31,5
Atalanta,32,5
Atalanta,33,4
Atalanta,34,5
Atalanta,35,3
Atalanta,36,2
Atalanta,37,2
Atalanta,38,2
Atalanta,39,1
Lecce,4,3
Lecce,5,3
Lecce,6,1
Lecce,7,2
Lecce,8,5
Lecce,9,6
Lecce,10,6
Lecce,11,3
Lecce,12,4
Lecce,13,5
Lecce,14,6
Lecce,15,5
Lecce,16,4
Lecce,17,3
Lecce,18,4
Lecce,19,4
Lecce,20,4
Lecce,21,3
Lecce,22,5
Lecce,23,6
Lecce,24,7
Lecce,25,8
Lecce,26,8
Lecce,27,10
Lecce,28,7
Lecce,29,6
Lecce,30,2
Lecce,31,1
Lecce,32,3
Lecce,33,3
Lecce,34,3
Lecce,35,1
Lecce,36,2
Lecce,37,4
Lecce,38,5
Lecce,39,4
Lazio,4,4
Lazio,5,5
Lazio,6,5
Lazio,7,4
Lazio,8,3
Lazio,9,4
Lazio,10,4
Lazio,11,2
Lazio,12,1
Lazio,13,1
Lazio,14,3
Lazio,15,2
Lazio,16,3
Lazio,17,3
Lazio,18,3
Lazio,19,3
Lazio,20,2
Lazio,21,2
Lazio,22,1
Lazio,23,0
Lazio,24,3
Lazio,25,4
Lazio,26,6
Lazio,27,5
Lazio,28,5
Lazio,29,5
Lazio,30,5
Lazio,31,4
Lazio,32,3
Lazio,33,2
Lazio,34,2
Lazio,35,1
Lazio,36,2
Lazio,37,2
Lazio,38,3
Lazio,39,2
Udinese,4,4
Udinese,5,1
Udinese,6,2
Udinese,7,6
Udinese,8,8
Udinese,9,6
Udinese,10,3
Udinese,11,2
Udinese,12,2
Udinese,13,2
Udinese,14,4
Udinese,15,7
Udinese,16,10
Udinese,17,9
Udinese,18,7
Udinese,19,3
Udinese,20,3
Udinese,21,4
Udinese,22,7
Udinese,23,7
Udinese,24,5
Udinese,25,2
Udinese,26,1
Udinese,27,3
Udinese,28,4
Udinese,29,4
Udinese,30,4
Udinese,31,4
Udinese,32,5
Udinese,33,4
Udinese,34,4
Udinese,35,4
Udinese,36,4
Udinese,37,3
Udinese,38,2
Udinese,39,1
Juventus,4,1
Juventus,5,2
Juventus,6,5
Juventus,7,5
Juventus,8,4
Juventus,9,0
Juventus,10,0
Juventus,11,0
Juventus,12,0
Juventus,13,1
Juventus,14,2
Juventus,15,3
Juventus,16,2
Juventus,17,2
Juventus,18,2
Juventus,19,2
Juventus,20,2
Juventus,21,1
Juventus,22,1
Juventus,23,1
Juventus,24,2
Juventus,25,3
Juventus,26,4
Juventus,27,5
Juventus,28,6
Juventus,29,6
Juventus,30,4
Juventus,31,3
Juventus,32,1
Juventus,33,1
Juventus,34,2
Juventus,35,2
Juventus,36,3
Juventus,37,2
Juventus,38,5
Juventus,39,4
Torino,4,4
Torino,5,4
Torino,6,1
Torino,7,3
Torino,8,3
Torino,9,4
Torino,10,5
Torino,11,5
Torino,12,4
Torino,13,2
Torino,14,4
Torino,15,3
Torino,16,2
Torino,17,0
Torino,18,1
Torino,19,2
Torino,20,2
Torino,21,1
Torino,22,2
Torino,23,3
Torino,24,3
Torino,25,2
Torino,26,1
Torino,27,4
Torino,28,3
Torino,29,4
Torino,30,1
Torino,31,1
Torino,32,3
Torino,33,3
Torino,34,3
Torino,35,2
Torino,36,2
Torino,37,4
Torino,38,3
Torino,39,6
Cagliari,4,4
Cagliari,5,4
Cagliari,6,4
Cagliari,7,5
Cagliari,8,8
Cagliari,9,10
Cagliari,10,9
Cagliari,11,6
Cagliari,12,3
Cagliari,13,3
Cagliari,14,4
Cagliari,15,4
Cagliari,16,3
Cagliari,17,4
Cagliari,18,5
Cagliari,19,4
Cagliari,20,3
Cagliari,21,2
Cagliari,22,5
Cagliari,23,6
Cagliari,24,9
Cagliari,25,9
Cagliari,26,8
Cagliari,27,5
Cagliari,28,2
Cagliari,29,3
Cagliari,30,3
Cagliari,31,4
Cagliari,32,3
Cagliari,33,4
Cagliari,34,5
Cagliari,35,7
Cagliari,36,6
Cagliari,37,9
Cagliari,38,6
Cagliari,39,8
Bologna,4,4
Bologna,5,2
Bologna,6,1
Bologna,7,0
Bologna,8,0
Bologna,9,2
Bologna,10,3
Bologna,11,4
Bologna,12,2
Bologna,13,3
Bologna,14,2
Bologna,15,3
Bologna,16,2
Bologna,17,2
Bologna,18,1
Bologna,19,3
Bologna,20,4
Bologna,21,6
Bologna,22,3
Bologna,23,4
Bologna,24,4
Bologna,25,4
Bologna,26,3
Bologna,27,1
Bologna,28,2
Bologna,29,2
Bologna,30,2
Bologna,31,1
Bologna,32,0
Bologna,33,0
Bologna,34,1
Bologna,35,2
Bologna,36,2
Bologna,37,1
Bologna,38,3
Bologna,39,5
Milan,4,2
Milan,5,7
Milan,6,6
Milan,7,6
Milan,8,1
Milan,9,1
Milan,10,1
Milan,11,3
Milan,12,4
Milan,13,5
Milan,14,3
Milan,15,3
Milan,16,4
Milan,17,4
Milan,18,5
Milan,19,2
Milan,20,2
Milan,21,1
Milan,22,3
Milan,23,5
Milan,24,6
Milan,25,4
Milan,26,6
Milan,27,5
Milan,28,5
Milan,29,1
Milan,30,1
Milan,31,2
Milan,32,2
Milan,33,4
Milan,34,5
Milan,35,5
Milan,36,5
Milan,37,4
Milan,38,7
Milan,39,7
